# name	encoding hex	id hex
minimal	525349440100000000000000000103010000000000000000	c785a59a26e4840e3d07eae914473ac5
label	525349440101000000000000000101080000000001000000010700000000000000	235972825be759d25a40ebd321024732
label_max	5253494401ffffffffffffffff010206000000000100000001ffffffffffffffff	bc525e5f0cba61971995ad919581ad27
profile_boundary	5253494401050000000000000001030200000000020000000200000000000000000002030000000000000000	6712537ef2e2bf56baba571edff5f6b8
profile_segment	525349440105000000000000000103030000000001000000020200000001ff0f0000	ae136cdf1089a15d91966e0a31b73234
profile_vertex	52534944010500000000000000010207000000000100000002010000000200000000	27df881f7f792876bb1cd07e73f22deb
seam_vertex_end	5253494401050000000000000001010a0100000001000000010300000000000000	50ffd66db02827f7a621de6c3bc75703
entity_parent	52534944010900000000000000020205ffffffff0100000003235972825be759d25a40ebd321024732	d78ff11a63993bdd99eca049110307a3
external	5253494401000000000000000003030c1100000000000000	01f95d1390308fdf26d2401b818a8975
region	5253494401080000000000000001050d000000000200000001010000000000000002010000000000000000	ee80f13ba529b60e7146d4b67febdbd8
body	52534944012a0000000000000001040b0000000000000000	f4bd6f60134794f9e3d213ef4e5be24a
many_parents	525349440103000000000000000103010000000008000000010a00000000000000010b00000000000000010c00000000000000010d00000000000000010e00000000000000010f00000000000000011000000000000000011100000000000000	fd217a4be492131a796c287b96b280f8
split_child	52534944010b00000000000000050303010000000100000003235972825be759d25a40ebd321024732	28201a78ca71ff66622253a3fc6d7b04
cut_vertex	52534944010b00000000000000050110000000000100000003235972825be759d25a40ebd321024732	342a001f7a8a8d54e992dff752494ebe
cut_edge	52534944010b0000000000000005020f010000000100000003235972825be759d25a40ebd321024732	e674417d6417d4bd24f74c2a7b03a28b
cut_face	52534944010b0000000000000005030e000000000200000003235972825be759d25a40ebd3210247320332470221d3eb405ad259e75b82725923	255494b9de186f6927a88c0abd7be481
merged	52534944010c0000000000000006050d000000000200000003235972825be759d25a40ebd3210247320332470221d3eb405ad259e75b82725923	b7e8df4dc8f26349c0b809ae640bc64a
