# input text | point_count overlap_count [t/x/y/z lo hi bits contact left_order right_order] [overlap endpoints bits]
sphere_secant_0 sphere:B 1 2 2 0 0 0 0 0 1 1 0 0 -2 0 0 1 2 0 0 1 0 2 1 2 | 2 0 3fd0000000000000 3fd0000000000000 bff0000000000000 bff0000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 C 1 1 3fe8000000000000 3fe8000000000000 3ff0000000000000 3ff0000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 C 1 1
sphere_secant_0_trim sphere:BT 1 2 2 0 0 0 0 0 1 1 0 0 -2 0 0 1 2 0 0 1 0 2 1 2 0.25 0.75 | 2 0 3fd0000000000000 3fd0000000000000 bff0000000000000 bff0000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 B 0 1 3fe8000000000000 3fe8000000000000 3ff0000000000000 3ff0000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 B 1 0
sphere_tangent_0 sphere:B 1 2 2 0 0 0 0 0 1 1 0 0 -2 1 0 1 2 1 0 1 0 2 1 2 | 1 0 3fe0000000000000 3fe0000000000000 0000000000000000 0000000000000000 3ff0000000000000 3ff0000000000000 0000000000000000 0000000000000000 T 2 2
sphere_tangent_0_trim sphere:BT 1 2 2 0 0 0 0 0 1 1 0 0 -2 1 0 1 2 1 0 1 0 2 1 2 0.25 0.75 | 1 0 3fe0000000000000 3fe0000000000000 0000000000000000 0000000000000000 3ff0000000000000 3ff0000000000000 0000000000000000 0000000000000000 T 2 2
sphere_outside_0 sphere:B 1 2 2 0 0 0 0 0 1 1 0 0 -2 2 0 1 2 2 0 1 0 2 1 2 | 0 0
sphere_inside_0 sphere:B 1 2 2 0 0 0 0 0 1 1 0 0 -0.5 0 0 1 0.5 0 0 1 0 2 1 2 | 0 0
sphere_constant_0 sphere:B 2 3 2 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 3 1 3 | 0 1 0000000000000000 3ff0000000000000
sphere_rational_arc_0 sphere:B 2 3 2 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 1 0 1 0 2 0 3 1 3 | 0 1 0000000000000000 3ff0000000000000
sphere_rational_arc_0_trim sphere:BT 2 3 2 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 1 0 1 0 2 0 3 1 3 0.25 0.75 | 0 1 3fd0000000000000 3fd0000000000000 3fe8000000000000 3fe8000000000000
sphere_generator_0 sphere:B 1 2 2 0 0 0 0 0 1 1 0 0 1 0 -2 1 1 0 2 1 0 2 1 2 | 1 0 3fe0000000000000 3fe0000000000000 3ff0000000000000 3ff0000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 T 2 2
sphere_power_2_0 sphere:B 2 3 2 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 2 0 0 1 0 3 1 3 | 1 0 3fe6a09e667f3bcc 3fe6a09e667f3bcd 3ff0000000000000 3ff0000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 C 1 1
sphere_power_3_0 sphere:B 3 4 2 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 1 0 4 1 4 | 1 0 3fe965fea53d6e3c 3fe965fea53d6e3d 3ff0000000000000 3ff0000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 C 1 1
